Tag,Timestamp,Valor,Estado
"02GMOMZL LT-93230 LAT          MW","2025-06-01 06:00:00",40.11,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 07:00:00",42.52,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 08:00:00",37.54,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 09:00:00",42.35667,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 10:00:00",42.1,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 11:00:00",38.765,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 12:00:00",40.67001,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 13:00:00",40.745,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 14:00:00",40.48,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 15:00:00",38.815,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 16:00:00",37.255,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 17:00:00",32.62334,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 18:00:00",37.66,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 19:00:00",38.815,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 20:00:00",63.66334,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 21:00:00",69.895,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 22:00:00",67.43001,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 23:00:00",66.59,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 00:00:00",67.38,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 01:00:00",65.61333,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 02:00:00",66.01,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 03:00:00",68.08,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 04:00:00",66.31667,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 05:00:00",63.15,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 06:00:00",60.91,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 07:00:00",56.825,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 08:00:00",45.835,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 09:00:00",50.89,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 10:00:00",48.54,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 11:00:00",50.26,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 12:00:00",55.78,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 13:00:00",53.33601,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 14:00:00",57.69,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 15:00:00",59.65501,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 16:00:00",51.095,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 17:00:00",50.09667,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 18:00:00",49.56001,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 19:00:00",44.464,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 20:00:00",52.75667,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 21:00:00",53.786,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-02 22:00:00",62.03,Crítico
